0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:02:33 +0700] "GET /WWW-2022-Nhom12-websiteCoKhi/resources/img/logo5.png HTTP/1.1" 200 6714652
127.0.0.1 - - [17/Jun/2022:21:02:35 +0700] "GET /WWW-2022-Nhom12-websiteCoKhi-rest-server/api/products HTTP/1.1" 200 2371
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:02:35 +0700] "GET /WWW-2022-Nhom12-websiteCoKhi/showShopPage HTTP/1.1" 200 21945
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:02:35 +0700] "GET /WWW-2022-Nhom12-websiteCoKhi/resources/css/all.min.css HTTP/1.1" 200 59305
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:02:35 +0700] "GET /WWW-2022-Nhom12-websiteCoKhi/resources/css/base.css HTTP/1.1" 200 2890
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:02:35 +0700] "GET /WWW-2022-Nhom12-websiteCoKhi/resources/css/shop-page.css HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:02:35 +0700] "GET /WWW-2022-Nhom12-websiteCoKhi/resources/css/header.css HTTP/1.1" 200 5222
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:02:35 +0700] "GET /WWW-2022-Nhom12-websiteCoKhi/resources/css/grid.css HTTP/1.1" 200 9304
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:02:35 +0700] "GET /WWW-2022-Nhom12-websiteCoKhi/resources/css/footer.css HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:02:35 +0700] "GET /WWW-2022-Nhom12-websiteCoKhi/resources/img/location.png HTTP/1.1" 200 1209
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:02:35 +0700] "GET /WWW-2022-Nhom12-websiteCoKhi/resources/img/phone.png HTTP/1.1" 200 2007
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:02:35 +0700] "GET /WWW-2022-Nhom12-websiteCoKhi/resources/img/email.png HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:02:35 +0700] "GET /WWW-2022-Nhom12-websiteCoKhi/resources/uploads/khoandai20.jpg HTTP/1.1" 200 42367
0:0:0:0:0:0:0:1 - - [17/Jun/2022:21:02:35 +0700] "GET /WWW-2022-Nhom12-websiteCoKhi/resources/uploads/luoimai.jpg HTTP/1.1" 200 58690
